SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,60,108,0.1,0.171315,0.289839,0.145389,,0.257016094
10,60,108,0.5,0.110808,0.325089,0.105323,,0.491586315
10,60,108,1,0.071333,0.36727,0.077888,,0.674726347
10,60,108,2,0.042438,0.447311,0.058601,,0.826694899
10,60,108,3,0.034847,0.514247,0.053401,,0.873074556
10,60,108,4,0.03315,0.56107,0.052583,,0.888425162
10,60,108,5,0.03322,0.601038,0.052342,,0.895247675
10,60,108,6,0.033446,0.633345,0.051535,,0.89968071
10,60,108,7,0.033944,0.663963,0.053222,,0.902726294
10,60,126,0.01,0.190869,0.283975,0.158944,,0.196077027
10,60,126,0.1,0.171232,0.289562,0.14536,,0.256795878
10,60,126,0.5,0.110466,0.323839,0.104711,,0.49129759
10,60,126,1,0.070823,0.36548,0.077215,,0.67534947
10,60,126,2,0.041825,0.444885,0.058105,,0.828131742
10,60,126,3,0.034186,0.511568,0.05304,,0.874720112
10,60,126,4,0.032477,0.558307,0.052474,,0.890054572
10,60,126,5,0.032507,0.597641,0.052032,,0.896827412
10,60,126,6,0.032717,0.629686,0.051232,,0.901217235
10,60,126,7,0.033167,0.66006,0.052851,,0.904311286
10,60,144,0.01,0.190862,0.283948,0.160018,,0.196048946
10,60,144,0.1,0.171171,0.289368,0.145829,,0.256649274
10,60,144,0.5,0.110242,0.323033,0.104143,,0.491122266
10,60,144,1,0.070467,0.36412,0.076721,,0.6757059
10,60,144,2,0.041349,0.443006,0.057944,,0.829261595
10,60,144,3,0.033701,0.509623,0.052777,,0.875945108
10,60,144,4,0.031972,0.556144,0.052601,,0.89127315
10,60,144,5,0.031988,0.595361,0.052248,,0.898021675
10,60,144,6,0.032187,0.626781,0.051449,,0.902310886
10,60,144,7,0.032597,0.656975,0.052547,,0.905457298
10,60,162,0.01,0.190857,0.283933,0.159505,,0.196036142
10,60,162,0.1,0.171135,0.289259,0.145042,,0.256571545
10,60,162,0.5,0.110114,0.322644,0.104296,,0.491105884
